"ID","City","ZIP","EV.DC.Fast.Count","EV.Network","Latitude","Longitude","EV.Connector.Types","Facility.Type","CNG.Dispenser.Num","CNG.On.Site.Renewable.Source","CNG.Total.Compression.Capacity","CNG.Storage.Capacity","LNG.On.Site.Renewable.Source","E85.Other.Ethanol.Blends","EV.Pricing","EV.Pricing..French.","LPG.Nozzle.Types","Hydrogen.Pressures","Hydrogen.Standards","CNG.Fill.Type.Code","CNG.PSI","CNG.Vehicle.Class","LNG.Vehicle.Class","MaxPower","EV_Connector_Code","ChargingCost","restaurants"
96763,"Seattle",98106,2,"ChargePoint Network",47.547708,-122.3527083,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,0
98770,"Seattle",98103,2,"ChargePoint Network",47.6987144,-122.3347009,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,0
99059,"Renton",98057,2,"Greenlots",47.4707717895508,-122.220207214355,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $3.50 per hour, minimum payment of $3.50, maximum payment of $30.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,8
99067,"Puyallup",98372,2,"Greenlots",47.2066383361816,-122.29222869873,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $10.00 per hour, minimum payment of $3.00, maximum payment of $30.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,0
99070,"Tacoma",98409,2,"Greenlots",47.1906089782715,-122.484420776367,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $7.00 per hour, maximum payment of $30.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,0
99073,"seattle",98133,2,"Greenlots",47.7538108825684,-122.346504211426,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $5.00 per hour, maximum payment of $20.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,2
99183,"Rosalia",99170,2,"Greenlots",47.2346725463867,-117.370063781738,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"Level 2: $0.00 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,1
99263,"Spokane",99201,2,"Greenlots",47.662197,-117.431889,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,4
99277,"Pullman",99163,2,"Greenlots",46.728904,-117.176165,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,13
99280,"Liberty Lake",99019,2,"Greenlots",47.6705284118652,-117.10326385498,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,15
99282,"Seattle",98144,4,"Greenlots",47.579971,-122.312333,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $0.43 per kWh, maximum payment of $30.00",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,10
99296,"Kennewick",99337,2,"Greenlots",46.181372,-119.184406,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC Fast: $21.00 per hour",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,1
99297,"Ellensburg",98926,2,"Greenlots",46.994109,-120.548798,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"Level 2: $1.50 per hour",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,19
99358,"Kennewick",99336,1,"",46.179735,-119.188128,"CHADEMO J1772 J1772COMBO","STREET_PARKING",NA,NA,NA,NA,NA,NA,"Level 2: $1.25 per hour
DC fast: $0.25 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,3
99591,"Seattle",98134,8,"ChargePoint Network",47.5974028,-122.3304456,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,59
99920,"Bellevue",98007,2,"Blink Network",47.584996,-122.150454,"CHADEMO","",NA,NA,NA,NA,NA,NA,"Free",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
100242,"Tacoma",98421,4,"eVgo Network",47.236323,-122.430462,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $4.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,5
102483,"Aberdeen",98520,8,"Tesla",46.976679,-123.813485,"TESLA","",NA,NA,NA,NA,NA,NA,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",NA,NA,NA,NA,NA,NA,NA,NA,50,4,0,9
